date,cot_noncomm_net,cot_noncomm_net_pct_oi,cot_comm_net,cot_comm_net_pct_oi,cot_noncomm_net_change_1w,cot_noncomm_net_ma_4w,cot_noncomm_trader_count
2013-03-19,135610,0.30770662019640943,-162364,-0.36841293180126705,21103.0,118575.75,269
2013-03-26,132446,0.3155527283210277,-158473,-0.37756208201997965,-3164.0,122537.5,250
2013-04-02,120206,0.28814217500527356,-142522,-0.34163518514967306,-12240.0,125692.25,274
2013-04-09,119359,0.28656728601508236,-143802,-0.3452521289851697,-847.0,126905.25,270
2013-04-16,128882,0.3120002517653837,-141929,-0.34358470331628266,9523.0,125223.25,256
2013-04-23,104255,0.2511720801592005,-104388,-0.2514925049509244,-24627.0,118175.5,264
2013-04-30,97052,0.23047968709554081,-95563,-0.22694360072859052,-7203.0,112387.0,233
2013-05-07,89423,0.20419426804679275,-87719,-0.20030324411836567,-7629.0,104903.0,230
2013-05-14,83726,0.18865450219239938,-84146,-0.18960086163774262,-5697.0,93614.0,233
2013-05-21,80259,0.17991781872146018,-84122,-0.1885775644661243,-3467.0,87615.0,240
2013-05-28,56879,0.13839139077520493,-59221,-0.14408967374775244,-23380.0,77571.75,227
2013-06-04,61200,0.1640482387598811,-61652,-0.16525983686314036,4321.0,70516.0,208
2013-06-11,59005,0.15783321385390697,-58322,-0.15600624859567092,-2195.0,64335.75,213
2013-06-18,43692,0.1158613228110929,-44115,-0.11698302334091741,-15313.0,55194.0,210
2013-06-25,34152,0.08742419626926612,-35208,-0.09012740402460534,-9540.0,49512.25,219
2013-07-02,20751,0.05056298870123953,-22776,-0.055497211250514746,-13401.0,39400.0,210
2013-07-09,16557,0.03836422027276898,-19041,-0.044119896008564,-4194.0,28788.0,212
2013-07-16,23462,0.053288453108568806,-24607,-0.05588905317716105,6905.0,23730.5,213
2013-07-23,34191,0.07864519838987924,-34696,-0.07980678550891317,10729.0,23740.25,218
2013-07-30,28366,0.07144458297127457,-25774,-0.06491619126777236,-5825.0,25644.0,196
2013-08-06,51635,0.13037100251980752,-54159,-0.1367437421413819,23269.0,34413.5,205
2013-08-13,53926,0.1380781314412862,-60874,-0.15586856383482653,2291.0,42029.5,197
2013-08-20,60396,0.15670584572273683,-67665,-0.1755662800653849,6470.0,48580.75,197
2013-08-27,78289,0.20382346355915876,-87638,-0.2281633524428407,17893.0,61061.5,195
2013-09-03,78191,0.20122032816585345,-92461,-0.23794340477219855,-98.0,67700.5,194
2013-09-10,68724,0.17889234805968285,-80224,-0.20882747993044637,-9467.0,71400.0,194
2013-09-17,58796,0.15287889503681823,-65337,-0.16988652910096935,-9928.0,71000.0,193
2013-09-24,67139,0.17751496499354866,-71527,-0.18911680098144976,8343.0,68212.5,195
2013-10-01,73047,0.1952340097981831,-78128,-0.2088140884295378,5908.0,66926.5,198
2013-10-08,82317,0.22223452103907604,-90416,-0.2440997176071662,9270.0,70324.75,180
2013-10-15,61933,0.16224422165579067,-64824,-0.16981769694048365,-20384.0,71109.0,189
2013-10-22,76665,0.19639110687580213,-82148,-0.2104367918559107,14732.0,73490.5,192
2013-10-29,100236,0.25889670064003556,-106787,-0.2758170913768254,23571.0,80287.75,194
2013-11-05,91136,0.23561774165193022,-93900,-0.24276362733844198,-9100.0,82492.5,195
2013-11-12,61352,0.1519215530903328,-65785,-0.16289867274167988,-29784.0,82347.25,196
2013-11-19,48120,0.12102920093563721,-51515,-0.12956814809225584,-13232.0,75211.0,202
2013-11-26,26555,0.06732465925685542,-28236,-0.0715864838552653,-21565.0,56790.75,183
2013-12-03,22691,0.058718649401194506,-22299,-0.05770425115672453,-3864.0,39679.5,179
2013-12-10,26380,0.06991542830488215,-28962,-0.07675855324359351,3689.0,30936.5,189
2013-12-17,25904,0.06720770460158991,-27099,-0.07030812179580315,-476.0,25382.5,179
2013-12-24,27339,0.07101518544109472,-26518,-0.06888257388810673,1435.0,25578.5,182
2013-12-31,32223,0.08489790541430642,-33021,-0.08700039520484784,4884.0,27961.5,179
2014-01-07,38887,0.10152707031729331,-41884,-0.10935170656439203,6664.0,31088.25,182
2014-01-14,44013,0.10594666679504894,-45255,-0.10893636893213232,5126.0,35615.5,187
2014-01-21,46583,0.11335194021788061,-46091,-0.11215474049722722,2570.0,40426.5,188
2014-01-28,66341,0.17333221856147402,-64979,-0.16977365776678102,19758.0,48956.0,178
2014-02-04,64939,0.17633098819101822,-65782,-0.17862001363097,-1402.0,55469.0,178
2014-02-11,71201,0.18887559586495584,-72654,-0.19272998331445487,6262.0,62266.0,184
2014-02-18,84631,0.21670528889856222,-91751,-0.2349366894132408,13430.0,71778.0,191
2014-02-25,109464,0.28248555495054234,-116663,-0.301063475637608,24833.0,82558.75,193
2014-03-04,115166,0.29284504635539305,-121149,-0.30805866767022827,5702.0,95115.5,196
2014-03-11,118890,0.2862474117590408,-125367,-0.30184186449655703,3724.0,107037.75,194
2014-03-18,136814,0.3252628225549538,-145934,-0.3469447918103018,17924.0,120083.5,204
2014-03-25,117317,0.2945709378703574,-127621,-0.32044322359038224,-19497.0,122046.75,199
2014-04-01,100145,0.27553920611031474,-114029,-0.31373967880126896,-17172.0,118291.5,183
2014-04-08,88599,0.2424712643678161,-101743,-0.27844280240831965,-11546.0,110718.75,189
2014-04-15,79292,0.21454798323488744,-87605,-0.23704126609610446,-9307.0,96338.25,189
2014-04-22,81833,0.21963107197397697,-90526,-0.24296215978292668,2541.0,87467.25,184
2014-04-29,85227,0.22541339144970007,-97171,-0.2570035864286999,3394.0,83737.75,175
2014-05-06,97956,0.24204595997034842,-110471,-0.2729701013096121,12729.0,86077.0,187
2014-05-13,91634,0.23079926151490193,-102321,-0.2577166907203252,-6322.0,89162.5,190
2014-05-20,96491,0.24160742768002685,-106010,-0.26544240818687387,4857.0,92827.0,179
2014-05-27,73391,0.18454091703441078,-78638,-0.19773444473780158,-23100.0,89868.0,188
2014-06-03,59151,0.15478841579417021,-63444,-0.16602248908125536,-14240.0,80166.75,196
2014-06-10,61127,0.16141741640237767,-63150,-0.1667595309079482,1976.0,72540.0,191
2014-06-17,78295,0.2061246357047517,-78325,-0.20620361570438311,17168.0,67991.0,196
2014-06-24,120859,0.30800890954871196,-131607,-0.3354001651426649,42564.0,79858.0,200
2014-07-01,146025,0.3634153200618198,-160455,-0.3993275478891922,25166.0,101576.5,202
2014-07-08,150021,0.36502170358547126,-166003,-0.4039081052672558,3996.0,123800.0,199
2014-07-15,142458,0.348847118285468,-156906,-0.3842269717509697,-7563.0,139840.75,204
2014-07-22,146146,0.3603054112623485,-160191,-0.3949316719959962,3688.0,146162.5,196
2014-07-29,139153,0.37160283816731515,-148932,-0.39771728883987106,-6993.0,144444.5,192
2014-08-05,121463,0.3370769990731028,-131642,-0.365325163317071,-17690.0,137305.0,193
2014-08-12,147681,0.4011827857674525,-160687,-0.4365142320042161,26218.0,138610.75,195
2014-08-19,137976,0.3765710246424,-147662,-0.40300654201271285,-9705.0,136568.25,196
2014-08-26,113169,0.31123902664407826,-123548,-0.33978350311324285,-24807.0,130072.25,194
2014-09-02,96879,0.2607673983553827,-103707,-0.2791461986730011,-16290.0,123926.25,197
2014-09-09,95141,0.24754319731696592,-97955,-0.25486482056298965,-1738.0,110791.25,209
2014-09-16,72187,0.18697420223787817,-76243,-0.19747979693327808,-22954.0,94344.0,206
2014-09-23,63884,0.1655935384200649,-64319,-0.16672110070816096,-8303.0,82022.75,220
2014-09-30,64870,0.1707671491073356,-60729,-0.15986616614982863,986.0,74020.5,204
2014-10-07,66447,0.17482050162199708,-63407,-0.16682233278170525,1577.0,66847.0,223
2014-10-14,85415,0.2146887685211949,-78823,-0.19811991806059998,18968.0,70154.0,227
2014-10-21,107984,0.2626983605679991,-104898,-0.2551908859355272,22569.0,81179.0,240
2014-10-28,100739,0.24309017639535727,-98864,-0.238565671677807,-7245.0,90146.25,223
2014-11-04,63225,0.15148175390594115,-55307,-0.13251089542547864,-37514.0,89340.75,246
2014-11-11,56043,0.1263875044539964,-50024,-0.1128135275200599,-7182.0,81997.75,236
2014-11-18,81422,0.17713642999018833,-70997,-0.15445647515429983,25379.0,75357.25,235
2014-11-25,76207,0.19633642066753404,-68485,-0.17644179365958598,-5215.0,69224.25,200
2014-12-02,89330,0.24266477598398353,-89408,-0.24287666283640433,13123.0,75750.5,203
2014-12-09,114862,0.30603506846103223,-116601,-0.3106684109420419,25532.0,90455.25,211
2014-12-16,118408,0.3185211288443898,-115091,-0.3095982977487135,3546.0,99701.75,198
2014-12-23,110910,0.29559289148534695,-105225,-0.2804414570962549,-7498.0,108377.5,202
2014-12-30,115837,0.3097395061794418,-113134,-0.3025118855987721,4927.0,115004.25,196
2015-01-06,122178,0.31007991959819403,-122672,-0.3113336598810723,6341.0,116833.25,208
2015-01-13,130226,0.3238582669332617,-137676,-0.3423856277418007,8048.0,119787.75,206
2015-01-20,162455,0.37768989696090466,-177810,-0.4133885727039393,32229.0,132674.0,244
2015-01-27,188925,0.43106103646307486,-206160,-0.47038530251278293,26470.0,150946.0,238
2015-02-03,185015,0.4410117180423528,-203273,-0.4845324701328172,-3910.0,166655.25,227
2015-02-10,155274,0.3948661350042723,-170591,-0.4338176954062742,-29741.0,172917.25,220
2015-02-17,131734,0.338187045927143,-143635,-0.3687392498652222,-23540.0,165237.0,229
2015-02-24,126171,0.31597492656026566,-135694,-0.33982374463758463,-5563.0,149548.5,223
2015-03-03,115820,0.2858877775693368,-123387,-0.30456600941933826,-10351.0,132249.75,217
2015-03-10,81892,0.19929036936809777,-89342,-0.21742050725448872,-33928.0,113904.25,232
2015-03-17,53093,0.12354737072355715,-56490,-0.131452187146587,-28799.0,94244.0,227
2015-03-24,54281,0.12513861128209383,-52925,-0.1220125090198194,1188.0,76271.5,241
2015-03-31,80019,0.20645535817949612,-81115,-0.20928312499193724,25738.0,67321.25,222
2015-04-07,100757,0.25797358226801276,-108289,-0.2772581681691677,20738.0,72037.5,229
2015-04-14,98397,0.24905021400241464,-103593,-0.2622016811401988,-2360.0,83363.5,230
2015-04-21,101245,0.2547819587849383,-105006,-0.26424647502761844,2848.0,95104.5,222
2015-04-28,101257,0.2509000805302608,-106872,-0.26481323174131205,12.0,100414.0,234
